Player,Weekly Wages,Annual_Wages_Y,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,Annual_Wages_Imputed,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Manuel Akanji,45396.01861908456,2360592.7075252132,SUI,DF,Manchester City,Premier League,29,1995,22.4,37,1.65,37,0,0,0,0,0,3,0.13,0.9966652656139827,0.494606050895107,222315600.0,15.719573172779842,6713111.905695881,1.6517857142857144,0.0,0.0,0.0,0.0,0.0,1.6517857142857144,0.13392857142857142,0.08108108108108107,0.0,0.13392857142857142,0.030196315084033153,0.5070849426999461,221574236.52413192,841,1,3.883928571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nathan Aké,45396.01861908456,2360592.7075252132,NED,DF,Manchester City,Premier League,29,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,222315600.0,15.674944462516999,6420101.352382504,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.02887832141506266,0.5070849426999461,221574236.52413192,841,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Alcaraz,20000.0,1040000.0,ARG,FW,Everton,Premier League,21,2002,8.5,33,3.89,24,2,3,3,1,0,6,0.71,0.9966652656139827,0.494606050895107,75379200.0,13.854731271117556,1040000.0000000007,2.823529411764706,0.23529411764705882,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.0,3.8823529411764706,0.7058823529411765,0.18181818181818182,0.11764705882352941,0.35294117647058826,0.01379690949227374,0.5070849426999461,75127830.38976952,441,0,14.823529411764707,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Trent Alexander-Arnold,45396.01861908456,2360592.7075252132,ENG,DF,Liverpool,Premier League,25,1998,26.3,98,3.73,74,15,5,4,0,0,10,0.38,0.9966652656139827,0.494606050895107,172400800.0,15.644176045422583,6225573.007165269,2.8136882129277567,0.5703422053231939,0.19011406844106463,0.1520912547528517,0.0,0.0,3.726235741444867,0.38022813688212925,0.10204081632653061,0.0,0.19011406844106463,0.03611104476989242,0.5070849426999461,171825889.1240631,625,1,9.505703422053232,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alisson,45396.01861908456,2360592.7075252132,BRA,GK,Liverpool,Premier League,31,1992,27.9,7,0.25,7,0,0,0,0,0,1,0.04,0.9966652656139827,0.494606050895107,172400800.0,15.212060552388788,4041233.610206408,0.2508960573476703,0.0,0.0,0.0,0.0,0.0,0.2508960573476703,0.03584229390681004,0.14285714285714285,0.0,0.03584229390681004,0.023440921447037414,0.5070849426999461,171825889.1240631,961,0,1.1111111111111112,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Miguel Almirón,45396.01861908456,2360592.7075252132,PAR,FW,Newcastle Utd,Premier League,30,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.0,0.9966652656139827,0.494606050895107,116584000.0,15.38737576630631,4815621.960454025,3.5294117647058822,0.0,0.5882352941176471,0.5882352941176471,0.0,0.0,4.705882352941177,0.0,0.0,0.0,-0.5882352941176471,0.041306027932255074,0.5070849426999461,116195223.32634056,900,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Edson Álvarez,45396.01861908456,2360592.7075252132,MEX,MF,West Ham,Premier League,26,1997,19.7,28,1.42,24,0,2,1,1,0,2,0.1,0.9966652656139827,0.494606050895107,86143200.0,14.926994571142263,3038864.765209536,1.218274111675127,0.0,0.10152284263959391,0.050761421319796954,0.050761421319796954,0.0,1.4213197969543148,0.10152284263959391,0.07142857142857142,0.050761421319796954,0.0,0.03527689666984203,0.5070849426999461,85855935.30883844,676,1,2.6395939086294415,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Harry Amass,45396.01861908456,2360592.7075252132,ENG,DF,Manchester Utd,Premier League,17,2007,3.8,8,2.08,7,0,0,1,0,0,0,0.0,0.9966652656139827,0.494606050895107,159341000.0,14.488083235863394,1959271.4165774754,1.842105263157895,0.0,0.0,0.2631578947368421,0.0,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.012296090877912624,0.5070849426999461,158809640.08819762,289,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mathis Amougou,20962.0,1090000.0,FRA,MF,Chelsea,Premier League,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,164788000.0,13.901688254205327,1090000.0000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006614559312571308,0.5070849426999461,164238475.78999698,324,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Joachim Andersen,90000.0,4680000.0,DEN,DF,Crystal Palace,Premier League,28,1996,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,67828800.0,15.358808667893829,4679999.999999997,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06899724011039554,0.5070849426999461,67602608.96827771,784,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
